game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2023-03-30,718780,R,Final,Nationals Park,2023-03-30 17:05:00+00:00,Atlanta Braves,Washington Nationals,144,120,,
2023-03-30,718781,R,Final,Yankee Stadium,2023-03-30 17:05:00+00:00,San Francisco Giants,New York Yankees,137,147,,
2023-03-30,718782,R,Final,Fenway Park,2023-03-30 18:10:00+00:00,Baltimore Orioles,Boston Red Sox,110,111,,
2023-03-30,718777,R,Final,Wrigley Field,2023-03-30 18:20:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2023-03-30,718776,R,Final,Tropicana Field,2023-03-30 19:10:00+00:00,Detroit Tigers,Tampa Bay Rays,116,139,,
2023-03-30,718779,R,Final,Globe Life Field,2023-03-30 20:05:00+00:00,Philadelphia Phillies,Texas Rangers,143,140,,
2023-03-30,718773,R,Final,Great American Ball Park,2023-03-30 20:10:00+00:00,Pittsburgh Pirates,Cincinnati Reds,134,113,,
2023-03-30,718772,R,Final,Busch Stadium,2023-03-30 20:10:00+00:00,Toronto Blue Jays,St. Louis Cardinals,141,138,,
2023-03-30,718775,R,Final,Kauffman Stadium,2023-03-30 20:10:00+00:00,Minnesota Twins,Kansas City Royals,142,118,,
2023-03-30,718774,R,Final,loanDepot park,2023-03-30 20:10:00+00:00,New York Mets,Miami Marlins,121,146,,
2023-03-30,718768,R,Final,Minute Maid Park,2023-03-30 23:08:00+00:00,Chicago White Sox,Houston Astros,145,117,,
2023-03-30,718778,R,Final,Petco Park,2023-03-31 01:40:00+00:00,Colorado Rockies,San Diego Padres,115,135,,
2023-03-30,718769,R,Final,Oakland Coliseum,2023-03-31 02:07:00+00:00,Los Angeles Angels,Oakland Athletics,108,133,,
2023-03-30,718770,R,Final,Dodger Stadium,2023-03-31 02:10:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,109,119,,
2023-03-30,718767,R,Final,T-Mobile Park,2023-03-31 02:10:00+00:00,Cleveland Guardians,Seattle Mariners,114,136,,
2023-03-31,718771,R,Final,loanDepot park,2023-03-31 22:40:00+00:00,New York Mets,Miami Marlins,121,146,,
2023-03-31,718764,R,Final,Minute Maid Park,2023-04-01 00:10:00+00:00,Chicago White Sox,Houston Astros,145,117,,
2023-03-31,718766,R,Final,Petco Park,2023-04-01 01:40:00+00:00,Colorado Rockies,San Diego Padres,115,135,,
2023-03-31,718765,R,Final,Dodger Stadium,2023-04-01 02:10:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,109,119,,
2023-03-31,718763,R,Final,T-Mobile Park,2023-04-01 02:10:00+00:00,Cleveland Guardians,Seattle Mariners,114,136,,
2023-04-01,718760,R,Final,Minute Maid Park,2023-04-01 18:10:00+00:00,Chicago White Sox,Houston Astros,145,117,,
2023-04-01,718759,R,Final,Busch Stadium,2023-04-01 18:15:00+00:00,Toronto Blue Jays,St. Louis Cardinals,141,138,,
2023-04-01,718758,R,Final,Wrigley Field,2023-04-01 18:20:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2023-04-01,718752,R,Final,Globe Life Field,2023-04-01 20:05:00+00:00,Philadelphia Phillies,Texas Rangers,143,140,,
2023-04-01,718753,R,Final,Nationals Park,2023-04-01 20:05:00+00:00,Atlanta Braves,Washington Nationals,144,120,,
2023-04-01,718762,R,Final,Yankee Stadium,2023-04-01 20:05:00+00:00,San Francisco Giants,New York Yankees,137,147,,
2023-04-01,718757,R,Final,Oakland Coliseum,2023-04-01 20:07:00+00:00,Los Angeles Angels,Oakland Athletics,108,133,,
2023-04-01,718761,R,Final,Fenway Park,2023-04-01 20:10:00+00:00,Baltimore Orioles,Boston Red Sox,110,111,,
2023-04-01,718756,R,Final,Great American Ball Park,2023-04-01 20:10:00+00:00,Pittsburgh Pirates,Cincinnati Reds,134,113,,
2023-04-01,718754,R,Final,Tropicana Field,2023-04-01 20:10:00+00:00,Detroit Tigers,Tampa Bay Rays,116,139,,
2023-04-01,718751,R,Final,Kauffman Stadium,2023-04-01 20:10:00+00:00,Minnesota Twins,Kansas City Royals,142,118,,
2023-04-01,718755,R,Final,loanDepot park,2023-04-01 20:10:00+00:00,New York Mets,Miami Marlins,121,146,,
2023-04-01,718750,R,Final,Petco Park,2023-04-02 00:40:00+00:00,Colorado Rockies,San Diego Padres,115,135,,
2023-04-01,718749,R,Final,Dodger Stadium,2023-04-02 01:10:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,109,119,,
2023-04-01,718746,R,Final,T-Mobile Park,2023-04-02 01:40:00+00:00,Cleveland Guardians,Seattle Mariners,114,136,,
2023-04-02,718742,R,Final,Tropicana Field,2023-04-02 17:10:00+00:00,Detroit Tigers,Tampa Bay Rays,116,139,,
2023-04-02,718748,R,Final,Fenway Park,2023-04-02 17:35:00+00:00,Baltimore Orioles,Boston Red Sox,110,111,,
2023-04-02,718743,R,Final,Nationals Park,2023-04-02 17:35:00+00:00,Atlanta Braves,Washington Nationals,144,120,,
2023-04-02,718747,R,Final,Yankee Stadium,2023-04-02 17:35:00+00:00,San Francisco Giants,New York Yankees,137,147,,
2023-04-02,718744,R,Final,Great American Ball Park,2023-04-02 17:40:00+00:00,Pittsburgh Pirates,Cincinnati Reds,134,113,,
2023-04-02,718741,R,Final,loanDepot park,2023-04-02 17:40:00+00:00,New York Mets,Miami Marlins,121,146,,
2023-04-02,718745,R,Final,Kauffman Stadium,2023-04-02 18:10:00+00:00,Minnesota Twins,Kansas City Royals,142,118,,
2023-04-02,718740,R,Final,Minute Maid Park,2023-04-02 18:10:00+00:00,Chicago White Sox,Houston Astros,145,117,,
2023-04-02,718737,R,Final,Busch Stadium,2023-04-02 18:15:00+00:00,Toronto Blue Jays,St. Louis Cardinals,141,138,,
2023-04-02,718738,R,Final,Wrigley Field,2023-04-02 18:20:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2023-04-02,718734,R,Final,Oakland Coliseum,2023-04-02 20:07:00+00:00,Los Angeles Angels,Oakland Athletics,108,133,,
2023-04-02,718736,R,Final,Dodger Stadium,2023-04-02 20:10:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,109,119,,
2023-04-02,718733,R,Final,Petco Park,2023-04-02 20:10:00+00:00,Colorado Rockies,San Diego Padres,115,135,,
2023-04-02,718735,R,Final,T-Mobile Park,2023-04-02 20:10:00+00:00,Cleveland Guardians,Seattle Mariners,114,136,,
2023-04-02,718739,R,Final,Globe Life Field,2023-04-02 23:08:00+00:00,Philadelphia Phillies,Texas Rangers,143,140,,
2023-04-03,718731,R,Final,American Family Field,2023-04-03 18:10:00+00:00,New York Mets,Milwaukee Brewers,121,158,,
2023-04-03,718730,R,Final,Guaranteed Rate Field,2023-04-03 19:10:00+00:00,San Francisco Giants,Chicago White Sox,137,145,,
