game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2025-03-18,778563,R,Final,Tokyo Dome,2025-03-18 10:10:00+00:00,Los Angeles Dodgers,Chicago Cubs,119,112,,
2025-03-19,778564,R,Final,Tokyo Dome,2025-03-19 10:10:00+00:00,Los Angeles Dodgers,Chicago Cubs,119,112,,
2025-03-27,778557,R,Final,Yankee Stadium,2025-03-27 19:05:00+00:00,Milwaukee Brewers,New York Yankees,158,147,,
2025-03-27,778556,R,Final,Rogers Centre,2025-03-27 19:07:00+00:00,Baltimore Orioles,Toronto Blue Jays,110,141,,
2025-03-27,778553,R,Final,Globe Life Field,2025-03-27 20:05:00+00:00,Boston Red Sox,Texas Rangers,111,140,,
2025-03-27,778555,R,Final,Nationals Park,2025-03-27 20:05:00+00:00,Philadelphia Phillies,Washington Nationals,143,120,,
2025-03-27,778558,R,Final,Kauffman Stadium,2025-03-27 20:10:00+00:00,Cleveland Guardians,Kansas City Royals,114,118,,
2025-03-27,778559,R,Final,Daikin Park,2025-03-27 20:10:00+00:00,New York Mets,Houston Astros,121,117,,
2025-03-27,778561,R,Final,Great American Ball Park,2025-03-27 20:10:00+00:00,San Francisco Giants,Cincinnati Reds,137,113,,
2025-03-27,778545,R,Final,Petco Park,2025-03-27 20:10:00+00:00,Atlanta Braves,San Diego Padres,144,135,,
2025-03-27,778554,R,Final,Rate Field,2025-03-27 20:10:00+00:00,Los Angeles Angels,Chicago White Sox,108,145,,
2025-03-27,778562,R,Final,loanDepot park,2025-03-27 20:10:00+00:00,Pittsburgh Pirates,Miami Marlins,134,146,,
2025-03-27,778551,R,Final,Busch Stadium,2025-03-27 20:15:00+00:00,Minnesota Twins,St. Louis Cardinals,142,138,,
2025-03-27,778546,R,Final,Dodger Stadium,2025-03-27 23:10:00+00:00,Detroit Tigers,Los Angeles Dodgers,116,119,,
2025-03-27,778552,R,Final,Chase Field,2025-03-28 02:10:00+00:00,Chicago Cubs,Arizona Diamondbacks,112,109,,
2025-03-27,778547,R,Final,T-Mobile Park,2025-03-28 02:10:00+00:00,Athletics,Seattle Mariners,133,136,,
2025-03-28,778560,R,Final,George M. Steinbrenner Field,2025-03-28 20:10:00+00:00,Colorado Rockies,Tampa Bay Rays,115,139,,
2025-03-28,778549,R,Final,Rogers Centre,2025-03-28 23:07:00+00:00,Baltimore Orioles,Toronto Blue Jays,110,141,,
2025-03-28,778548,R,Final,loanDepot park,2025-03-28 23:10:00+00:00,Pittsburgh Pirates,Miami Marlins,134,146,,
2025-03-28,778550,R,Final,Globe Life Field,2025-03-29 00:05:00+00:00,Boston Red Sox,Texas Rangers,111,140,,
2025-03-28,778518,R,Final,Daikin Park,2025-03-29 00:10:00+00:00,New York Mets,Houston Astros,121,117,,
2025-03-28,778543,R,Final,Chase Field,2025-03-29 01:40:00+00:00,Chicago Cubs,Arizona Diamondbacks,112,109,,
2025-03-28,778541,R,Final,T-Mobile Park,2025-03-29 01:40:00+00:00,Athletics,Seattle Mariners,133,136,,
2025-03-28,778542,R,Final,Petco Park,2025-03-29 01:40:00+00:00,Atlanta Braves,San Diego Padres,144,135,,
2025-03-28,778544,R,Final,Dodger Stadium,2025-03-29 02:10:00+00:00,Detroit Tigers,Los Angeles Dodgers,116,119,,
2025-03-29,778538,R,Final,Yankee Stadium,2025-03-29 17:05:00+00:00,Milwaukee Brewers,New York Yankees,158,147,,
2025-03-29,778534,R,Final,Rate Field,2025-03-29 18:10:00+00:00,Los Angeles Angels,Chicago White Sox,108,145,,
2025-03-29,778528,R,Final,Busch Stadium,2025-03-29 18:15:00+00:00,Minnesota Twins,St. Louis Cardinals,142,138,,
2025-03-29,778536,R,Final,Rogers Centre,2025-03-29 19:07:00+00:00,Baltimore Orioles,Toronto Blue Jays,110,141,,
2025-03-29,778535,R,Final,Nationals Park,2025-03-29 20:05:00+00:00,Philadelphia Phillies,Washington Nationals,143,120,,
2025-03-29,778529,R,Final,Kauffman Stadium,2025-03-29 20:10:00+00:00,Cleveland Guardians,Kansas City Royals,114,118,,
2025-03-29,778540,R,Final,Great American Ball Park,2025-03-29 20:10:00+00:00,San Francisco Giants,Cincinnati Reds,137,113,,
2025-03-29,778537,R,Final,George M. Steinbrenner Field,2025-03-29 20:10:00+00:00,Colorado Rockies,Tampa Bay Rays,115,139,,
2025-03-29,778539,R,Final,loanDepot park,2025-03-29 20:10:00+00:00,Pittsburgh Pirates,Miami Marlins,134,146,,
2025-03-29,778531,R,Final,Globe Life Field,2025-03-29 23:05:00+00:00,Boston Red Sox,Texas Rangers,111,140,,
2025-03-29,778530,R,Final,Daikin Park,2025-03-29 23:15:00+00:00,New York Mets,Houston Astros,121,117,,
2025-03-29,778520,R,Final,Petco Park,2025-03-29 23:15:00+00:00,Atlanta Braves,San Diego Padres,144,135,,
2025-03-29,778532,R,Final,Chase Field,2025-03-30 00:10:00+00:00,Chicago Cubs,Arizona Diamondbacks,112,109,,
2025-03-29,778533,R,Final,Dodger Stadium,2025-03-30 01:10:00+00:00,Detroit Tigers,Los Angeles Dodgers,116,119,,
2025-03-29,778521,R,Final,T-Mobile Park,2025-03-30 01:40:00+00:00,Athletics,Seattle Mariners,133,136,,
2025-03-30,778526,R,Final,Nationals Park,2025-03-30 17:35:00+00:00,Philadelphia Phillies,Washington Nationals,143,120,,
2025-03-30,778523,R,Final,Yankee Stadium,2025-03-30 17:35:00+00:00,Milwaukee Brewers,New York Yankees,158,147,,
2025-03-30,778525,R,Final,Rogers Centre,2025-03-30 17:37:00+00:00,Baltimore Orioles,Toronto Blue Jays,110,141,,
2025-03-30,778522,R,Final,Great American Ball Park,2025-03-30 17:40:00+00:00,San Francisco Giants,Cincinnati Reds,137,113,,
2025-03-30,778524,R,Final,George M. Steinbrenner Field,2025-03-30 17:40:00+00:00,Colorado Rockies,Tampa Bay Rays,115,139,,
2025-03-30,778519,R,Final,loanDepot park,2025-03-30 17:40:00+00:00,Pittsburgh Pirates,Miami Marlins,134,146,,
2025-03-30,778510,R,Final,Kauffman Stadium,2025-03-30 18:10:00+00:00,Cleveland Guardians,Kansas City Royals,114,118,,
2025-03-30,778527,R,Final,Rate Field,2025-03-30 18:10:00+00:00,Los Angeles Angels,Chicago White Sox,108,145,,
2025-03-30,778517,R,Final,Busch Stadium,2025-03-30 18:15:00+00:00,Minnesota Twins,St. Louis Cardinals,142,138,,
