game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2022-04-07,663178,R,Final,Wrigley Field,2022-04-07 18:20:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2022-04-07,662766,R,Final,Kauffman Stadium,2022-04-07 20:10:00+00:00,Cleveland Guardians,Kansas City Royals,114,118,,
2022-04-07,662021,R,Final,Busch Stadium,2022-04-07 20:15:00+00:00,Pittsburgh Pirates,St. Louis Cardinals,134,138,,
2022-04-07,662571,R,Final,Nationals Park,2022-04-07 23:05:00+00:00,New York Mets,Washington Nationals,121,120,,
2022-04-07,661577,R,Final,Truist Park,2022-04-08 00:08:00+00:00,Cincinnati Reds,Atlanta Braves,113,144,,
2022-04-07,661042,R,Final,Angel Stadium,2022-04-08 01:38:00+00:00,Houston Astros,Los Angeles Angels,117,108,,
2022-04-07,663418,R,Final,Chase Field,2022-04-08 01:40:00+00:00,San Diego Padres,Arizona Diamondbacks,135,109,,
2022-04-07,661333,R,Postponed,Yankee Stadium,2022-04-07 17:05:00+00:00,Boston Red Sox,New York Yankees,111,147,,
2022-04-07,661750,R,Postponed,Target Field,2022-04-07 20:10:00+00:00,Seattle Mariners,Minnesota Twins,136,142,,
2022-04-08,661333,R,Final,Yankee Stadium,2022-04-08 17:05:00+00:00,Boston Red Sox,New York Yankees,111,147,,
2022-04-08,662888,R,Final,Comerica Park,2022-04-08 17:10:00+00:00,Chicago White Sox,Detroit Tigers,145,116,,
2022-04-08,661131,R,Final,Citizens Bank Park,2022-04-08 19:05:00+00:00,Oakland Athletics,Philadelphia Phillies,133,143,,
2022-04-08,661918,R,Final,Tropicana Field,2022-04-08 19:10:00+00:00,Baltimore Orioles,Tampa Bay Rays,110,139,,
2022-04-08,662933,R,Final,Coors Field,2022-04-08 20:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,119,115,,
2022-04-08,661750,R,Final,Target Field,2022-04-08 20:10:00+00:00,Seattle Mariners,Minnesota Twins,136,142,,
2022-04-08,662124,R,Final,Oracle Park,2022-04-08 20:35:00+00:00,Miami Marlins,San Francisco Giants,146,137,,
2022-04-08,662559,R,Final,Nationals Park,2022-04-08 23:05:00+00:00,New York Mets,Washington Nationals,121,120,,
2022-04-08,661782,R,Final,Rogers Centre,2022-04-08 23:07:00+00:00,Texas Rangers,Toronto Blue Jays,140,141,,
2022-04-08,661576,R,Final,Truist Park,2022-04-08 23:20:00+00:00,Cincinnati Reds,Atlanta Braves,113,144,,
2022-04-08,661041,R,Final,Angel Stadium,2022-04-09 01:38:00+00:00,Houston Astros,Los Angeles Angels,117,108,,
2022-04-08,663417,R,Final,Chase Field,2022-04-09 01:40:00+00:00,San Diego Padres,Arizona Diamondbacks,135,109,,
2022-04-08,663147,R,Postponed,Wrigley Field,2022-04-08 18:20:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2022-04-09,661917,R,Final,Tropicana Field,2022-04-09 17:10:00+00:00,Baltimore Orioles,Tampa Bay Rays,110,139,,
2022-04-09,662864,R,Final,Comerica Park,2022-04-09 17:10:00+00:00,Chicago White Sox,Detroit Tigers,145,116,,
2022-04-09,661756,R,Final,Target Field,2022-04-09 18:10:00+00:00,Seattle Mariners,Minnesota Twins,136,142,,
2022-04-09,662020,R,Final,Busch Stadium,2022-04-09 18:15:00+00:00,Pittsburgh Pirates,St. Louis Cardinals,134,138,,
2022-04-09,663205,R,Final,Wrigley Field,2022-04-09 18:20:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2022-04-09,661803,R,Final,Rogers Centre,2022-04-09 19:07:00+00:00,Texas Rangers,Toronto Blue Jays,140,141,,
2022-04-09,661130,R,Final,Citizens Bank Park,2022-04-09 20:05:00+00:00,Oakland Athletics,Philadelphia Phillies,133,143,,
2022-04-09,662123,R,Final,Oracle Park,2022-04-09 20:05:00+00:00,Miami Marlins,San Francisco Giants,146,137,,
2022-04-09,661332,R,Final,Yankee Stadium,2022-04-09 20:05:00+00:00,Boston Red Sox,New York Yankees,111,147,,
2022-04-09,662765,R,Final,Kauffman Stadium,2022-04-09 20:10:00+00:00,Cleveland Guardians,Kansas City Royals,114,118,,
2022-04-09,662588,R,Final,Nationals Park,2022-04-09 23:05:00+00:00,New York Mets,Washington Nationals,121,120,,
2022-04-09,661575,R,Final,Truist Park,2022-04-09 23:20:00+00:00,Cincinnati Reds,Atlanta Braves,113,144,,
2022-04-09,662931,R,Final,Coors Field,2022-04-10 00:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,119,115,,
2022-04-09,663404,R,Final,Chase Field,2022-04-10 00:10:00+00:00,San Diego Padres,Arizona Diamondbacks,135,109,,
2022-04-09,661040,R,Final,Angel Stadium,2022-04-10 01:07:00+00:00,Houston Astros,Los Angeles Angels,117,108,,
2022-04-10,661129,R,Final,Citizens Bank Park,2022-04-10 17:05:00+00:00,Oakland Athletics,Philadelphia Phillies,133,143,,
