game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2021-04-01,634642,R,Final,Yankee Stadium,2021-04-01 17:05:00+00:00,Toronto Blue Jays,New York Yankees,141,147,,
2021-04-01,634645,R,Final,Comerica Park,2021-04-01 17:10:00+00:00,Cleveland Indians,Detroit Tigers,114,116,,
2021-04-01,634627,R,Postponed,Fenway Park,2021-04-01 18:10:00+00:00,Baltimore Orioles,Boston Red Sox,110,111,,
2021-04-01,634638,R,Final,American Family Field,2021-04-01 18:10:00+00:00,Minnesota Twins,Milwaukee Brewers,142,158,,
2021-04-01,634634,R,Final,Wrigley Field,2021-04-01 18:20:00+00:00,Pittsburgh Pirates,Chicago Cubs,134,112,,
2021-04-01,634622,R,Final,Citizens Bank Park,2021-04-01 19:05:00+00:00,Atlanta Braves,Philadelphia Phillies,144,143,,
2021-04-01,634615,R,Final,Coors Field,2021-04-01 20:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,119,115,,
2021-04-01,634618,R,Final,Petco Park,2021-04-01 20:10:00+00:00,Arizona Diamondbacks,San Diego Padres,109,135,,
2021-04-01,634630,R,Final,Kauffman Stadium,2021-04-01 20:10:00+00:00,Texas Rangers,Kansas City Royals,140,118,,
2021-04-01,634636,R,Final,Great American Ball Park,2021-04-01 20:10:00+00:00,St. Louis Cardinals,Cincinnati Reds,138,113,,
2021-04-01,634652,R,Final,loanDepot park,2021-04-01 20:10:00+00:00,Tampa Bay Rays,Miami Marlins,139,146,,
2021-04-01,634647,R,Postponed,Nationals Park,2021-04-01 23:09:00+00:00,New York Mets,Washington Nationals,121,120,,
2021-04-01,634655,R,Final,Angel Stadium,2021-04-02 02:05:00+00:00,Chicago White Sox,Los Angeles Angels,145,108,,
2021-04-01,634640,R,Final,Oakland Coliseum,2021-04-02 02:07:00+00:00,Houston Astros,Oakland Athletics,117,133,,
2021-04-01,634625,R,Final,T-Mobile Park,2021-04-02 02:10:00+00:00,San Francisco Giants,Seattle Mariners,137,136,,
2021-04-02,634627,R,Final,Fenway Park,2021-04-02 18:10:00+00:00,Baltimore Orioles,Boston Red Sox,110,111,,
2021-04-02,634602,R,Final,loanDepot park,2021-04-02 23:10:00+00:00,Tampa Bay Rays,Miami Marlins,139,146,,
2021-04-02,634653,R,Final,Coors Field,2021-04-03 00:40:00+00:00,Los Angeles Dodgers,Colorado Rockies,119,115,,
2021-04-02,634631,R,Final,Angel Stadium,2021-04-03 01:38:00+00:00,Chicago White Sox,Los Angeles Angels,145,108,,
2021-04-02,634605,R,Final,Oakland Coliseum,2021-04-03 01:40:00+00:00,Houston Astros,Oakland Athletics,117,133,,
2021-04-02,634576,R,Final,Petco Park,2021-04-03 02:10:00+00:00,Arizona Diamondbacks,San Diego Padres,109,135,,
2021-04-02,634578,R,Final,T-Mobile Park,2021-04-03 02:10:00+00:00,San Francisco Giants,Seattle Mariners,137,136,,
2021-04-03,634644,R,Final,Yankee Stadium,2021-04-03 17:05:00+00:00,Toronto Blue Jays,New York Yankees,141,147,,
2021-04-03,634573,R,Final,Comerica Park,2021-04-03 17:10:00+00:00,Cleveland Indians,Detroit Tigers,114,116,,
2021-04-03,634577,R,Final,Fenway Park,2021-04-03 17:10:00+00:00,Baltimore Orioles,Boston Red Sox,110,111,,
2021-04-03,634604,R,Final,Kauffman Stadium,2021-04-03 18:10:00+00:00,Texas Rangers,Kansas City Royals,140,118,,
2021-04-03,634643,R,Final,Wrigley Field,2021-04-03 18:20:00+00:00,Pittsburgh Pirates,Chicago Cubs,134,112,,
2021-04-03,634580,R,Final,Citizens Bank Park,2021-04-03 20:05:00+00:00,Atlanta Braves,Philadelphia Phillies,144,143,,
2021-04-03,634620,R,Postponed,Nationals Park,2021-04-03 20:05:00+00:00,New York Mets,Washington Nationals,121,120,,
2021-04-03,634629,R,Final,Oakland Coliseum,2021-04-03 20:07:00+00:00,Houston Astros,Oakland Athletics,117,133,,
2021-04-03,634654,R,Final,Great American Ball Park,2021-04-03 20:10:00+00:00,St. Louis Cardinals,Cincinnati Reds,138,113,,
2021-04-03,634596,R,Final,loanDepot park,2021-04-03 22:10:00+00:00,Tampa Bay Rays,Miami Marlins,139,146,,
2021-04-03,634575,R,Final,American Family Field,2021-04-03 23:10:00+00:00,Minnesota Twins,Milwaukee Brewers,142,158,,
2021-04-03,634633,R,Final,Coors Field,2021-04-04 00:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,119,115,,
2021-04-03,634623,R,Final,Petco Park,2021-04-04 00:40:00+00:00,Arizona Diamondbacks,San Diego Padres,109,135,,
2021-04-03,634646,R,Final,Angel Stadium,2021-04-04 01:07:00+00:00,Chicago White Sox,Los Angeles Angels,145,108,,
2021-04-03,634639,R,Final,T-Mobile Park,2021-04-04 01:10:00+00:00,San Francisco Giants,Seattle Mariners,137,136,,
2021-04-04,634556,R,Postponed,Nationals Park,2021-04-04 17:05:00+00:00,New York Mets,Washington Nationals,121,120,,
2021-04-04,634607,R,Final,Yankee Stadium,2021-04-04 17:05:00+00:00,Toronto Blue Jays,New York Yankees,141,147,,
2021-04-04,634617,R,Final,Citizens Bank Park,2021-04-04 17:05:00+00:00,Atlanta Braves,Philadelphia Phillies,144,143,,
2021-04-04,634560,R,Final,Great American Ball Park,2021-04-04 17:10:00+00:00,St. Louis Cardinals,Cincinnati Reds,138,113,,
2021-04-04,634610,R,Final,Fenway Park,2021-04-04 17:10:00+00:00,Baltimore Orioles,Boston Red Sox,110,111,,
2021-04-04,634611,R,Final,Comerica Park,2021-04-04 17:10:00+00:00,Cleveland Indians,Detroit Tigers,114,116,,
2021-04-04,634593,R,Final,Kauffman Stadium,2021-04-04 18:10:00+00:00,Texas Rangers,Kansas City Royals,140,118,,
2021-04-04,634597,R,Final,American Family Field,2021-04-04 18:10:00+00:00,Minnesota Twins,Milwaukee Brewers,142,158,,
2021-04-04,634613,R,Final,Wrigley Field,2021-04-04 18:20:00+00:00,Pittsburgh Pirates,Chicago Cubs,134,112,,
2021-04-04,634557,R,Final,Coors Field,2021-04-04 19:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,119,115,,
2021-04-04,634651,R,Final,Oakland Coliseum,2021-04-04 20:07:00+00:00,Houston Astros,Oakland Athletics,117,133,,
2021-04-04,634572,R,Final,Petco Park,2021-04-04 20:10:00+00:00,Arizona Diamondbacks,San Diego Padres,109,135,,
2021-04-04,634637,R,Final,Angel Stadium,2021-04-05 00:37:00+00:00,Chicago White Sox,Los Angeles Angels,145,108,,
2021-04-05,634588,R,Final,Comerica Park,2021-04-05 17:10:00+00:00,Minnesota Twins,Detroit Tigers,142,116,,
2021-04-05,634595,R,Postponed,Nationals Park,2021-04-05 20:05:00+00:00,Atlanta Braves,Washington Nationals,144,120,,
2021-04-05,634612,R,Final,Globe Life Field,2021-04-05 20:05:00+00:00,Toronto Blue Jays,Texas Rangers,141,140,,
2021-04-05,634616,R,Final,Progressive Field,2021-04-05 20:10:00+00:00,Kansas City Royals,Cleveland Indians,118,114,,
2021-04-05,634587,R,Final,Yankee Stadium,2021-04-05 22:35:00+00:00,Baltimore Orioles,New York Yankees,110,147,,
2021-04-05,634558,R,Final,Great American Ball Park,2021-04-05 22:40:00+00:00,Pittsburgh Pirates,Cincinnati Reds,134,113,,
2021-04-05,634562,R,Final,loanDepot park,2021-04-05 22:40:00+00:00,St. Louis Cardinals,Miami Marlins,138,146,,
2021-04-05,634606,R,Final,Citizens Bank Park,2021-04-05 23:05:00+00:00,New York Mets,Philadelphia Phillies,121,143,,
2021-04-05,634601,R,Final,Fenway Park,2021-04-05 23:10:00+00:00,Tampa Bay Rays,Boston Red Sox,139,111,,
2021-04-05,634566,R,Final,Wrigley Field,2021-04-05 23:40:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
